weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
lean,fast,slow,all,excessive,moderate hunger,cool,dry brittle,dark dry,large,bright,never forgets,focused,quickly but inconsistently,deep,dark,soft red,vatta-kapha
difficult to lose,moderate,fast,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,perfect,dark,never forgets,quick,quickly but inconsistently,light,pale,soft red,vatta-kapha
difficult to lose,moderate,moderate,all,excessive with strong odor,irregular appetite,dry,oily thick,red,large,dark,forgets quickly,peacefull,quickly but inconsistently,sound,dark,pale,vatta-kapha
lean,slow,slow,cold,excessive with strong odor,irregular appetite,dry,dry brittle,red,uneven,dark,average,peacefull,quickly but inconsistently,deep,dark,pale,vatta-kapha
lean,slow,slow,warm,excessive with strong odor,always hunger,dry,oily thick,red,large,red,average,quick,quickly but inconsistently,sound,pale,soft red,vatta-kapha
average,slow,moderate,warm,excessive with strong odor,always hunger,cool,oily thick,red,perfect,dark,forgets quickly,focused,quickly but inconsistently,light,redish,dull,vatta-kapha
lean,fast,slow,warm,excessive with strong odor,irregular appetite,cool,dry brittle,dark dry,perfect,bright,forgets quickly,peacefull,slowly but steadily,light,pale,pale,vatta-kapha
lean,fast,slow,warm,mild,irregular appetite,cool,oily thick,dark dry,perfect,bright,never forgets,focused,slowly but steadily,light,pale,dull,vatta-kapha
average,moderate,slow,all,excessive,always hunger,cool,oily thick,dark dry,large,dark,never forgets,quick,quickly but inconsistently,deep,redish,dull,vatta-kapha
lean,moderate,slow,all,mild,irregular appetite,cool,oily thick,dark dry,uneven,red,average,peacefull,quickly but inconsistently,deep,dark,pale,vatta-kapha
average,fast,slow,warm,excessive with strong odor,always hunger,oily,dry brittle,dark up red bottom,perfect,dark,average,peacefull,slowly but steadily,light,pale,dull,vatta-kapha
difficult to lose,fast,slow,cold,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,large,red,average,quick,slowly but steadily,light,dark,pale,vatta-kapha
lean,moderate,moderate,warm,excessive with strong odor,moderate hunger,cool,straight soft,dark dry,perfect,dark,forgets quickly,quick,slowly but steadily,sound,redish,pale,vatta-kapha
lean,moderate,moderate,warm,excessive with strong odor,irregular appetite,cool,oily thick,dark dry,large,red,forgets quickly,peacefull,promptly and decisively,deep,pale,soft red,vatta-kapha
lean,fast,slow,cold,excessive with strong odor,always hunger,dry,dry brittle,dark dry,perfect,red,never forgets,quick,slowly but steadily,sound,redish,pale,vatta-kapha
average,fast,slow,warm,mild,irregular appetite,cool,straight soft,red,large,bright,average,peacefull,slowly but steadily,deep,dark,soft red,vatta-kapha
difficult to lose,slow,fast,all,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,large,bright,never forgets,quick,slowly but steadily,light,redish,dull,vatta-kapha
difficult to lose,moderate,fast,cold,excessive with strong odor,moderate hunger,cool,dry brittle,red,perfect,red,forgets quickly,peacefull,quickly but inconsistently,sound,dark,dull,vatta-kapha
difficult to lose,slow,moderate,warm,excessive,irregular appetite,cool,straight soft,red,large,red,never forgets,quick,promptly and decisively,light,dark,pale,vatta-kapha
average,fast,slow,cold,excessive,irregular appetite,cool,straight soft,dark dry,perfect,red,forgets quickly,quick,quickly but inconsistently,deep,pale,pale,vatta-kapha
average,fast,moderate,warm,excessive,irregular appetite,cool,oily thick,dark dry,large,dark,never forgets,peacefull,slowly but steadily,light,pale,pale,vatta-kapha
lean,slow,fast,warm,excessive with strong odor,moderate hunger,dry,dry brittle,red,perfect,red,forgets quickly,quick,quickly but inconsistently,deep,pale,pale,vatta-kapha
lean,moderate,fast,all,mild,moderate hunger,oily,dry brittle,dark dry,perfect,bright,average,quick,slowly but steadily,sound,pale,soft red,vatta-kapha
average,moderate,fast,all,mild,moderate hunger,cool,dry brittle,red,large,red,forgets quickly,focused,quickly but inconsistently,deep,pale,soft red,vatta-kapha
difficult to lose,slow,moderate,all,mild,moderate hunger,oily,dry brittle,red,large,red,never forgets,quick,promptly and decisively,light,redish,dull,vatta-kapha
difficult to lose,fast,moderate,all,mild,irregular appetite,cool,oily thick,red,large,dark,average,focused,promptly and decisively,deep,dark,soft red,vatta-kapha
lean,fast,moderate,warm,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,perfect,dark,average,peacefull,promptly and decisively,deep,pale,pale,vatta-kapha
lean,fast,slow,all,excessive with strong odor,irregular appetite,oily,dry brittle,red,large,bright,never forgets,peacefull,promptly and decisively,sound,dark,dull,vatta-kapha
difficult to lose,fast,fast,warm,excessive with strong odor,moderate hunger,oily,dry brittle,red,uneven,red,never forgets,quick,promptly and decisively,light,pale,dull,vatta-kapha
lean,slow,moderate,cold,mild,moderate hunger,dry,oily thick,dark dry,large,dark,average,peaceful,slowly but steadily,deep,redish,soft red,vatta-kapha
average,slow,slow,all,mild,irregular appetite,dry,oily thick,dark dry,perfect,bright,average,focused,promptly and decisively,sound,dark,dull,vatta-kapha
difficult to lose,slow,fast,warm,excessive,irregular appetite,oily,oily thick,dark up red bottom,large,dark,never forgets,focused,quickly but inconsistently,deep,redish,pale,vatta-kapha
difficult to lose,slow,moderate,warm,excessive,always hunger,dry,dry brittle,red,large,red,never forgets,quick,slowly but steadily,sound,dark,pale,vatta-kapha
difficult to lose,moderate,fast,warm,excessive,moderate hunger,dry,straight soft,dark dry,uneven,dark,never forgets,focused,slowly but steadily,deep,pale,dull,vatta-kapha
difficult to lose,fast,slow,all,mild,moderate hunger,dry,oily thick,red,large,bright,average,quick,quickly but inconsistently,sound,dark,soft red,vatta-kapha
average,fast,slow,warm,excessive with strong odor,always hunger,cool,straight soft,red,perfect,dark,average,quick,slowly but steadily,light,redish,dull,vatta-kapha
average,moderate,fast,all,mild,always hunger,dry,oily thick,red,uneven,bright,never forgets,quick,quickly but inconsistently,sound,pale,dull,vatta-kapha
difficult to lose,fast,moderate,all,mild,moderate hunger,oily,dry brittle,dark dry,uneven,dark,never forgets,peaceful,slowly but steadily,sound,pale,dull,vatta-kapha
lean,moderate,slow,all,mild,irregular appetite,dry,oily thick,dark dry,perfect,dark,average,peacefull,slowly but steadily,sound,pale,dull,vatta-kapha
average,slow,fast,warm,excessive with strong odor,moderate hunger,oily,straight soft,red,large,dark,forgets quickly,quick,slowly but steadily,deep,dark,pale,vatta-kapha
lean,slow,moderate,all,excessive,moderate hunger,cool,straight soft,dark dry,uneven,dark,never forgets,quick,quickly but inconsistently,sound,pale,dull,vatta-kapha
difficult to lose,fast,moderate,cold,mild,always hunger,cool,dry brittle,red,perfect,bright,average,peaceful,quickly but inconsistently,light,dark,soft red,vatta-kapha
difficult to lose,slow,fast,warm,excessive,always hunger,dry,straight soft,dark dry,perfect,dark,never forgets,peacefull,slowly but steadily,deep,redish,dull,vatta-kapha
lean,fast,slow,all,mild,always hunger,oily,oily thick,dark dry,large,red,never forgets,quick,slowly but steadily,sound,redish,pale,vatta-kapha
lean,moderate,fast,all,mild,moderate hunger,dry,oily thick,red,large,bright,never forgets,peacefull,quickly but inconsistently,deep,redish,dull,vatta-kapha
difficult to lose,slow,moderate,warm,excessive,moderate hunger,cool,oily thick,dark up red bottom,uneven,red,forgets quickly,quick,quickly but inconsistently,deep,dark,dull,vatta-kapha
lean,slow,slow,all,mild,always hunger,dry,dry brittle,red,large,bright,forgets quickly,focused,quickly but inconsistently,deep,pale,soft red,vatta-kapha
difficult to lose,fast,slow,warm,excessive,always hunger,oily,oily thick,dark up red bottom,large,dark,forgets quickly,peacefull,quickly but inconsistently,deep,pale,pale,vatta-kapha
lean,slow,fast,warm,excessive with strong odor,moderate hunger,dry,straight soft,dark up red bottom,uneven,bright,never forgets,focused,quickly but inconsistently,light,redish,pale,vatta-kapha
difficult to lose,slow,fast,warm,excessive,always hunger,cool,oily thick,red,large,bright,average,focused,quickly but inconsistently,light,dark,soft red,vatta-kapha
average,fast,slow,all,mild,always hunger,cool,dry brittle,dark up red bottom,uneven,dark,forgets quickly,quick,slowly but steadily,sound,pale,pale,vatta-kapha
lean,fast,fast,all,excessive,moderate hunger,dry,oily thick,dark dry,uneven,bright,never forgets,quick,slowly but steadily,sound,pale,dull,vatta-kapha
difficult to lose,fast,slow,warm,excessive,always hunger,dry,straight soft,dark up red bottom,perfect,bright,never forgets,quick,quickly but inconsistently,light,redish,pale,vatta-kapha
average,fast,fast,warm,mild,always hunger,oily,straight soft,red,perfect,bright,never forgets,focused,slowly but steadily,light,pale,dull,vatta-kapha
lean,moderate,fast,cold,mild,moderate hunger,cool,oily thick,dark dry,large,bright,never forgets,focused,slowly but steadily,light,redish,soft red,vatta-kapha
difficult to lose,moderate,slow,warm,mild,irregular appetite,dry,straight soft,red,uneven,bright,never forgets,focused,quickly but inconsistently,sound,pale,dull,vatta-kapha
difficult to lose,moderate,moderate,all,excessive,moderate hunger,cool,oily thick,red,uneven,dark,forgets quickly,focused,quickly but inconsistently,light,dark,dull,vatta-kapha
average,fast,fast,warm,excessive with strong odor,always hunger,dry,straight soft,red,perfect,bright,average,quick,promptly and decisively,deep,pale,dull,vatta-kapha
lean,slow,moderate,all,excessive,irregular appetite,cool,oily thick,dark up red bottom,perfect,dark,average,peaceful,quickly but inconsistently,sound,dark,dull,vatta-kapha
difficult to lose,fast,moderate,cold,excessive with strong odor,moderate hunger,oily,oily thick,dark up red bottom,large,bright,forgets quickly,quick,quickly but inconsistently,deep,redish,dull,vatta-kapha
average,moderate,slow,all,mild,always hunger,dry,oily thick,dark up red bottom,large,bright,forgets quickly,quick,slowly but steadily,light,redish,pale,vatta-kapha
average,slow,slow,warm,mild,always hunger,dry,oily thick,red,uneven,dark,average,quick,quickly but inconsistently,deep,pale,soft red,vatta-kapha
average,fast,slow,all,excessive with strong odor,irregular appetite,cool,straight soft,dark dry,uneven,bright,forgets quickly,quick,slowly but steadily,sound,redish,dull,vatta-kapha
lean,moderate,fast,warm,excessive with strong odor,always hunger,oily,straight soft,dark dry,perfect,bright,forgets quickly,quick,promptly and decisively,deep,pale,pale,vatta-kapha
lean,slow,slow,all,mild,always hunger,oily,oily thick,dark dry,perfect,dark,never forgets,focused,quickly but inconsistently,light,pale,dull,vatta-kapha
difficult to lose,slow,fast,warm,excessive with strong odor,always hunger,cool,dry brittle,dark up red bottom,uneven,red,never forgets,quick,slowly but steadily,sound,dark,dull,vatta-kapha
lean,fast,slow,warm,excessive with strong odor,moderate hunger,cool,oily thick,red,uneven,dark,average,quick,promptly and decisively,sound,dark,soft red,vatta-kapha
lean,slow,slow,warm,excessive with strong odor,irregular appetite,cool,oily thick,red,perfect,dark,forgets quickly,peacefull,quickly but inconsistently,light,pale,dull,vatta-kapha
average,slow,fast,cold,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,large,red,forgets quickly,peaceful,slowly but steadily,light,dark,pale,vatta-kapha
lean,fast,slow,warm,excessive with strong odor,irregular appetite,oily,dry brittle,dark up red bottom,perfect,bright,average,focused,slowly but steadily,light,redish,pale,vatta-kapha
difficult to lose,slow,fast,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,uneven,dark,forgets quickly,quick,slowly but steadily,sound,redish,soft red,vatta-kapha
lean,fast,moderate,cold,mild,moderate hunger,cool,oily thick,dark dry,perfect,bright,average,quick,promptly and decisively,deep,redish,dull,vatta-kapha
lean,slow,slow,warm,mild,moderate hunger,dry,oily thick,dark up red bottom,large,bright,average,peacefull,promptly and decisively,sound,dark,pale,vatta-kapha
lean,fast,fast,all,excessive,moderate hunger,dry,straight soft,red,uneven,bright,never forgets,focused,promptly and decisively,light,dark,pale,vatta-kapha
average,fast,moderate,all,mild,moderate hunger,oily,dry brittle,red,large,bright,average,quick,quickly but inconsistently,deep,pale,soft red,vatta-kapha
lean,fast,slow,cold,excessive,always hunger,cool,dry brittle,red,perfect,dark,forgets quickly,focused,slowly but steadily,light,pale,soft red,vatta-kapha
difficult to lose,fast,moderate,cold,excessive with strong odor,always hunger,cool,dry brittle,red,uneven,dark,forgets quickly,quick,promptly and decisively,deep,pale,dull,vatta-kapha
lean,moderate,slow,warm,excessive,irregular appetite,cool,straight soft,dark up red bottom,perfect,bright,average,quick,slowly but steadily,deep,dark,dull,vatta-kapha
difficult to lose,moderate,slow,warm,excessive,moderate hunger,dry,dry brittle,dark up red bottom,large,bright,forgets quickly,focused,slowly but steadily,light,pale,soft red,vatta-kapha
difficult to lose,fast,fast,all,mild,moderate hunger,dry,dry brittle,dark dry,perfect,dark,never forgets,focused,promptly and decisively,deep,redish,pale,vatta-kapha
difficult to lose,slow,slow,cold,mild,irregular appetite,oily,straight soft,red,large,dark,average,focused,quickly but inconsistently,light,pale,pale,vatta-kapha
average,moderate,slow,cold,excessive,always hunger,dry,dry brittle,dark dry,large,red,forgets quickly,quick,slowly but steadily,light,pale,soft red,vatta-pitta
difficult to lose,slow,moderate,cold,mild,moderate hunger,dry,straight soft,dark up red bottom,large,red,forgets quickly,focused,slowly but steadily,light,dark,pale,vatta-pitta
average,moderate,moderate,warm,excessive,irregular appetite,cool,straight soft,dark dry,perfect,dark,forgets quickly,focused,quickly but inconsistently,light,pale,soft red,vatta-pitta
average,moderate,fast,cold,excessive with strong odor,irregular appetite,oily,dry brittle,red,large,dark,forgets quickly,focused,promptly and decisively,deep,redish,dull,vatta-pitta
lean,moderate,slow,all,mild,moderate hunger,oily,dry brittle,red,uneven,red,forgets quickly,peacefull,quickly but inconsistently,light,redish,soft red,vatta-pitta
difficult to lose,moderate,fast,cold,excessive,irregular appetite,dry,oily thick,dark dry,large,bright,forgets quickly,focused,promptly and decisively,deep,pale,soft red,vatta-pitta
average,slow,slow,all,mild,irregular appetite,cool,dry brittle,dark dry,uneven,dark,average,peacefull,quickly but inconsistently,sound,redish,soft red,vatta-pitta
average,moderate,moderate,warm,excessive with strong odor,moderate hunger,dry,dry brittle,dark dry,perfect,bright,never forgets,focused,quickly but inconsistently,light,redish,soft red,vatta-pitta
average,moderate,slow,warm,mild,always hunger,dry,straight soft,dark dry,perfect,dark,average,focused,promptly and decisively,deep,dark,dull,vatta-pitta
average,moderate,fast,cold,mild,irregular appetite,dry,straight soft,dark dry,perfect,dark,average,focused,quickly but inconsistently,deep,redish,pale,vatta-pitta
average,slow,slow,all,mild,always hunger,dry,straight soft,dark up red bottom,uneven,dark,never forgets,quick,slowly but steadily,light,dark,soft red,vatta-pitta
lean,moderate,moderate,cold,excessive with strong odor,moderate hunger,dry,straight soft,red,large,bright,forgets quickly,quick,slowly but steadily,sound,redish,dull,vatta-pitta
difficult to lose,moderate,moderate,warm,excessive,moderate hunger,dry,oily thick,dark up red bottom,large,red,never forgets,focused,slowly but steadily,light,dark,dull,vatta-pitta
average,fast,fast,all,mild,moderate hunger,cool,straight soft,red,large,red,never forgets,focused,quickly but inconsistently,sound,dark,soft red,vatta-pitta
average,fast,fast,cold,excessive with strong odor,irregular appetite,oily,dry brittle,dark up red bottom,perfect,dark,never forgets,peacefull,promptly and decisively,deep,redish,dull,vatta-pitta
lean,moderate,slow,warm,excessive,always hunger,oily,dry brittle,dark dry,uneven,dark,average,focused,quickly but inconsistently,deep,dark,pale,vatta-pitta
lean,slow,moderate,warm,excessive,irregular appetite,oily,straight soft,red,perfect,red,average,peacefull,quickly but inconsistently,deep,dark,dull,vatta-pitta
average,moderate,slow,warm,excessive,irregular appetite,cool,dry brittle,dark dry,large,bright,forgets quickly,focused,promptly and decisively,light,redish,soft red,vatta-pitta
average,fast,moderate,warm,mild,always hunger,oily,straight soft,dark dry,large,red,average,quick,promptly and decisively,light,pale,dull,vatta-pitta
lean,moderate,moderate,warm,mild,always hunger,oily,dry brittle,red,perfect,dark,average,focused,slowly but steadily,light,pale,pale,vatta-pitta
lean,moderate,fast,warm,excessive with strong odor,moderate hunger,oily,oily thick,dark up red bottom,large,red,never forgets,quick,promptly and decisively,sound,dark,pale,vatta-pitta
difficult to lose,fast,fast,warm,excessive,always hunger,cool,dry brittle,dark up red bottom,perfect,red,forgets quickly,focused,slowly but steadily,light,pale,soft red,vatta-pitta
difficult to lose,slow,fast,warm,mild,moderate hunger,dry,dry brittle,dark up red bottom,uneven,bright,forgets quickly,peacefull,promptly and decisively,sound,redish,soft red,vatta-pitta
average,moderate,fast,warm,excessive with strong odor,always hunger,dry,straight soft,dark dry,perfect,bright,forgets quickly,focused,quickly but inconsistently,light,redish,soft red,vatta-pitta
average,fast,fast,warm,excessive,always hunger,dry,straight soft,red,uneven,red,forgets quickly,quick,slowly but steadily,deep,redish,dull,vatta-pitta
lean,moderate,moderate,all,mild,always hunger,dry,dry brittle,dark dry,perfect,red,average,focused,slowly but steadily,light,pale,pale,vatta-pitta
average,moderate,slow,all,mild,irregular appetite,dry,dry brittle,dark up red bottom,uneven,red,forgets quickly,peacefull,quickly but inconsistently,sound,dark,soft red,vatta-pitta
difficult to lose,slow,moderate,warm,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,large,dark,forgets quickly,focused,quickly but inconsistently,sound,redish,soft red,vatta-pitta
difficult to lose,fast,slow,all,excessive,moderate hunger,dry,dry brittle,dark up red bottom,large,red,average,focused,promptly and decisively,light,pale,dull,vatta-pitta
average,fast,moderate,cold,excessive with strong odor,always hunger,oily,oily thick,dark up red bottom,uneven,dark,forgets quickly,peacefull,quickly but inconsistently,light,dark,dull,vatta-pitta
lean,fast,slow,all,excessive,always hunger,oily,straight soft,dark dry,uneven,red,forgets quickly,quick,promptly and decisively,light,pale,dull,vatta-pitta
lean,slow,slow,warm,excessive,always hunger,cool,oily thick,dark dry,large,dark,average,peacefull,promptly and decisively,sound,redish,dull,vatta-pitta
average,moderate,slow,cold,excessive with strong odor,irregular appetite,dry,dry brittle,dark up red bottom,perfect,red,forgets quickly,quick,quickly but inconsistently,deep,redish,pale,vatta-pitta
average,fast,fast,warm,excessive with strong odor,always hunger,oily,oily thick,red,large,bright,average,quick,promptly and decisively,sound,dark,pale,vatta-pitta
average,slow,slow,warm,excessive,irregular appetite,oily,oily thick,dark dry,uneven,red,never forgets,focused,quickly but inconsistently,deep,dark,dull,vatta-pitta
average,fast,moderate,all,mild,moderate hunger,cool,dry brittle,dark up red bottom,uneven,dark,forgets quickly,focused,slowly but steadily,sound,pale,dull,vatta-pitta
average,moderate,slow,all,excessive,always hunger,dry,dry brittle,dark dry,uneven,red,forgets quickly,focused,slowly but steadily,light,dark,dull,vatta-pitta
lean,moderate,moderate,warm,excessive with strong odor,always hunger,cool,oily thick,dark dry,uneven,bright,never forgets,quick,quickly but inconsistently,sound,redish,dull,vatta-pitta
difficult to lose,fast,moderate,cold,mild,moderate hunger,cool,oily thick,dark dry,large,red,forgets quickly,quick,slowly but steadily,sound,redish,soft red,vatta-pitta
lean,fast,fast,all,excessive with strong odor,moderate hunger,dry,straight soft,dark up red bottom,large,red,average,quick,quickly but inconsistently,sound,redish,soft red,vatta-pitta
lean,moderate,fast,cold,mild,moderate hunger,oily,oily thick,dark dry,uneven,red,forgets quickly,peacefull,slowly but steadily,sound,pale,dull,vatta-pitta
lean,fast,fast,all,excessive,always hunger,oily,dry brittle,dark up red bottom,large,dark,average,quick,quickly but inconsistently,sound,redish,soft red,vatta-pitta
lean,slow,fast,cold,mild,irregular appetite,oily,straight soft,red,uneven,red,forgets quickly,peacefull,quickly but inconsistently,sound,dark,soft red,vatta-pitta
lean,slow,slow,warm,excessive,irregular appetite,cool,straight soft,dark dry,large,red,never forgets,peacefull,quickly but inconsistently,sound,redish,soft red,vatta-pitta
average,moderate,slow,all,mild,irregular appetite,oily,dry brittle,dark up red bottom,large,bright,average,quick,quickly but inconsistently,light,redish,soft red,vatta-pitta
average,fast,fast,all,excessive,irregular appetite,oily,straight soft,dark dry,uneven,red,forgets quickly,quick,slowly but steadily,light,pale,soft red,vatta-pitta
lean,slow,moderate,all,excessive with strong odor,always hunger,dry,dry brittle,dark up red bottom,large,dark,never forgets,focused,promptly and decisively,deep,redish,dull,vatta-pitta
average,slow,fast,warm,mild,always hunger,oily,dry brittle,red,uneven,dark,forgets quickly,focused,promptly and decisively,deep,pale,pale,vatta-pitta
average,slow,moderate,warm,mild,always hunger,dry,dry brittle,dark up red bottom,uneven,bright,average,focused,quickly but inconsistently,light,dark,pale,vatta-pitta
lean,moderate,slow,all,excessive,moderate hunger,dry,oily thick,red,large,red,forgets quickly,focused,quickly but inconsistently,sound,dark,soft red,vatta-pitta
lean,slow,fast,warm,mild,always hunger,cool,dry brittle,dark dry,uneven,red,never forgets,focused,promptly and decisively,light,redish,soft red,vatta-pitta
difficult to lose,moderate,fast,warm,excessive with strong odor,always hunger,oily,straight soft,dark dry,uneven,dark,average,quick,slowly but steadily,deep,dark,pale,vatta-pitta
lean,moderate,fast,cold,excessive,irregular appetite,cool,oily thick,dark dry,uneven,dark,average,quick,promptly and decisively,light,redish,pale,vatta-pitta
average,fast,moderate,warm,excessive with strong odor,always hunger,oily,dry brittle,red,large,bright,forgets quickly,quick,promptly and decisively,sound,pale,pale,vatta-pitta
lean,fast,slow,all,excessive,always hunger,oily,straight soft,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,sound,pale,pale,vatta-pitta
difficult to lose,slow,fast,cold,mild,moderate hunger,dry,oily thick,dark dry,uneven,red,average,peaceful,promptly and decisively,light,redish,dull,vatta-pitta
average,fast,fast,cold,excessive with strong odor,always hunger,oily,oily thick,dark dry,uneven,red,forgets quickly,peacefull,quickly but inconsistently,light,redish,dull,vatta-pitta
average,moderate,fast,warm,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,perfect,dark,average,quick,promptly and decisively,light,redish,pale,vatta-pitta
lean,moderate,fast,warm,excessive,irregular appetite,cool,dry brittle,dark up red bottom,uneven,red,forgets quickly,peacefull,slowly but steadily,sound,pale,pale,vatta-pitta
lean,slow,moderate,cold,excessive,irregular appetite,oily,dry brittle,dark up red bottom,large,dark,forgets quickly,focused,quickly but inconsistently,deep,redish,pale,vatta-pitta
average,fast,fast,cold,mild,moderate hunger,dry,straight soft,dark dry,large,red,average,peacefull,promptly and decisively,deep,redish,dull,vatta-pitta
lean,fast,fast,all,mild,always hunger,dry,straight soft,dark up red bottom,uneven,dark,forgets quickly,peaceful,promptly and decisively,sound,pale,soft red,vatta-pitta
difficult to lose,moderate,slow,cold,mild,irregular appetite,dry,dry brittle,red,uneven,red,forgets quickly,quick,promptly and decisively,deep,redish,pale,vatta-pitta
difficult to lose,moderate,moderate,warm,excessive with strong odor,always hunger,cool,dry brittle,dark up red bottom,large,dark,never forgets,focused,promptly and decisively,light,dark,pale,vatta-pitta
difficult to lose,fast,moderate,cold,mild,always hunger,cool,dry brittle,dark dry,large,red,average,focused,promptly and decisively,deep,dark,dull,vatta-pitta
average,fast,slow,warm,mild,always hunger,cool,dry brittle,dark dry,perfect,red,never forgets,focused,promptly and decisively,deep,dark,soft red,vatta-pitta
average,fast,fast,cold,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,perfect,red,average,peaceful,quickly but inconsistently,sound,redish,dull,vatta-pitta
average,moderate,slow,all,excessive with strong odor,moderate hunger,dry,straight soft,dark dry,large,bright,average,quick,promptly and decisively,sound,dark,dull,vatta-pitta
average,moderate,moderate,warm,excessive with strong odor,moderate hunger,dry,straight soft,dark dry,uneven,red,forgets quickly,quick,quickly but inconsistently,deep,redish,dull,vatta-pitta
average,fast,moderate,cold,excessive with strong odor,irregular appetite,cool,dry brittle,red,uneven,red,forgets quickly,quick,quickly but inconsistently,sound,redish,dull,vatta-pitta
average,slow,slow,cold,excessive with strong odor,always hunger,dry,dry brittle,dark up red bottom,large,red,never forgets,quick,quickly but inconsistently,light,pale,soft red,vatta-pitta
lean,moderate,fast,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark up red bottom,uneven,dark,average,peacefull,promptly and decisively,sound,dark,dull,vatta-pitta
lean,moderate,fast,all,mild,moderate hunger,dry,dry brittle,dark up red bottom,uneven,bright,average,quick,slowly but steadily,deep,redish,soft red,vatta-pitta
lean,slow,fast,all,excessive with strong odor,always hunger,cool,straight soft,dark dry,uneven,red,forgets quickly,focused,slowly but steadily,light,dark,soft red,vatta-pitta
lean,slow,moderate,warm,excessive with strong odor,irregular appetite,dry,straight soft,red,uneven,red,average,peacefull,slowly but steadily,sound,dark,dull,vatta-pitta
difficult to lose,moderate,fast,warm,excessive with strong odor,moderate hunger,oily,dry brittle,dark up red bottom,uneven,bright,forgets quickly,quick,promptly and decisively,light,pale,soft red,vatta-pitta
average,fast,fast,warm,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,uneven,red,never forgets,peaceful,promptly and decisively,deep,dark,soft red,vatta-pitta
lean,moderate,moderate,warm,excessive,moderate hunger,oily,oily thick,red,large,dark,average,quick,slowly but steadily,light,redish,pale,vatta-pitta
average,fast,fast,all,excessive,always hunger,cool,dry brittle,dark up red bottom,perfect,dark,forgets quickly,quick,slowly but steadily,sound,redish,pale,vatta-pitta
average,moderate,fast,cold,excessive,moderate hunger,cool,straight soft,red,large,dark,average,quick,quickly but inconsistently,light,redish,dull,vatta-pitta
lean,slow,slow,warm,mild,irregular appetite,oily,oily thick,dark up red bottom,uneven,red,forgets quickly,peacefull,promptly and decisively,light,pale,soft red,vatta-pitta
difficult to lose,slow,moderate,warm,mild,moderate hunger,dry,dry brittle,dark dry,uneven,red,average,focused,slowly but steadily,deep,redish,dull,vatta-pitta
average,slow,moderate,cold,excessive with strong odor,irregular appetite,cool,oily thick,dark up red bottom,large,dark,average,quick,promptly and decisively,deep,dark,dull,vatta-pitta
lean,moderate,slow,warm,excessive with strong odor,irregular appetite,oily,straight soft,dark up red bottom,large,dark,never forgets,peacefull,promptly and decisively,deep,dark,soft red,vatta-pitta
average,slow,moderate,warm,excessive,irregular appetite,dry,oily thick,red,large,bright,average,quick,promptly and decisively,deep,redish,dull,vatta-pitta
difficult to lose,slow,moderate,all,excessive,irregular appetite,oily,dry brittle,dark up red bottom,large,red,forgets quickly,quick,quickly but inconsistently,sound,dark,soft red,vatta-pitta
lean,slow,fast,all,excessive,moderate hunger,dry,straight soft,dark up red bottom,perfect,red,forgets quickly,focused,promptly and decisively,deep,dark,dull,vatta-pitta
lean,fast,moderate,all,mild,always hunger,cool,straight soft,dark up red bottom,perfect,dark,forgets quickly,peacefull,promptly and decisively,light,redish,pale,vatta-pitta
average,moderate,slow,cold,excessive with strong odor,moderate hunger,dry,dry brittle,dark up red bottom,large,dark,average,focused,quickly but inconsistently,deep,dark,pale,vatta-pitta
average,slow,fast,warm,excessive with strong odor,always hunger,dry,oily thick,dark dry,uneven,red,never forgets,quick,quickly but inconsistently,sound,redish,pale,vatta-pitta
average,moderate,fast,cold,mild,always hunger,dry,dry brittle,dark dry,large,red,never forgets,focused,quickly but inconsistently,sound,pale,pale,vatta-pitta
lean,moderate,slow,warm,excessive,always hunger,oily,dry brittle,red,uneven,dark,never forgets,peacefull,slowly but steadily,light,dark,soft red,vatta-pitta
lean,moderate,fast,cold,excessive,irregular appetite,cool,oily thick,dark dry,uneven,dark,average,quick,slowly but steadily,sound,pale,pale,vatta-pitta
average,slow,fast,cold,excessive,irregular appetite,dry,oily thick,dark up red bottom,large,bright,forgets quickly,peacefull,quickly but inconsistently,deep,redish,soft red,vatta-pitta
lean,fast,fast,cold,mild,always hunger,oily,straight soft,dark up red bottom,perfect,red,forgets quickly,peacefull,promptly and decisively,light,dark,pale,vatta-pitta
lean,moderate,slow,all,mild,always hunger,oily,oily thick,dark up red bottom,large,dark,forgets quickly,quick,promptly and decisively,sound,pale,pale,vatta-pitta
lean,slow,moderate,warm,mild,always hunger,cool,straight soft,red,uneven,bright,average,focused,quickly but inconsistently,deep,dark,dull,vatta-pitta
